리뷰내용,별점,리뷰동조자수
다좋은데 버퍼링이 심해서 안들어가질때가 너무많아서 짜증나네요..ㅠㅠ,3,0
"몰랏던 쇼핑몰정보와 세일정조 확인할수있어서 좋아요 다만, 너무 느립니다",4,1
"상품 검색, 비슷한 상품 기능이 좋지만 앱이 느리고 크래쉬 자주 나요.",3,0
카테고리를 좀 세분화해서 고를수있 었으면 좋겠어요 반응 속도 느려서 불편하기도 함,3,1
좋은것 같아요 여러 브랜드들이 다 있어서 찾기쉽고 잘 정리되어있어요,5,1
일단 얼마 안써봤지만 브랜드가 많고 몰아서 한번에 볼 수 있는건 너무 편한 것 같습니다,4,0
좋긴 한데 저만 그런건지 저가순으로 볼 때 가격이 전혀 안맞더라구요 수정 부탁드립니다,3,5
한번에 볼수있게 되있어서 좋네요 대신 같은쇼핑몰 같은제품들은 연속되서 안나왔음좋겠어요~,5,0
"브랜드 옷이랑 온라인 옷이랑 비교하기도 쉽고, 옷 종류도 많아서 좋아요",5,4
패션 모르는 사람이 인기순을 보고 원하는 옷을 찾아가고 패션을 배워가게 하는 어플 한 번쯤 깔아보는 것을 추천,5,0
다양한 사이트를 한 번에 볼 수 있어서 너무 좋아요 찜 누르고 살 생각에 너무 행복합니닿ㅎ,5,0
편리 감사 모든 브랜드가 요기있어서 빠르게찾고 편리하네요 감사합니다 이런앱 만들어 주셔서 꾸벅,5,0
다양한 제품을 한번에 비교하기 편해서 자주사용해요 좋아요👍,3,0
딱 제가 원하던 앱 브랜드랑 소호 구분해줘서 너무 편해요 그런데 비슷한 상품 찾아보면 딱히 비슷하지는 않는 경우도 많네요 ^^,5,2
제가 칼하트 후드집업을 주문 했는데 문자도 안 오고 이메일로도 주문 확인이 됐다고 안 뜨는데 그대로 입금 해야 하나요? 헷갈립니다.,4,0
옷을 쉽게 검색 할 수 있고 자기가 원하는 브랜드만 들어갈수있어서 좋아요,4,0
여러가지 브랜드가 있으니까 옷 고르기도 편하고 인기많은 브랜드 랭킹으로 좋은 상품 고르기 좋아요!,5,0
사진으로 찾는거 너무 좋은데 그래도 더 정확하게 찾아줬으면 좋겠어요#,5,0
상품 링크로 들어가면 에러뜨거나 없는 상품인게 절반입니다. 다신 안씁니다.,1,1
사고싶은 스타일을 검색하면 다양한 쇼핑몰비교 구매가능해서 좋아요~,5,0
제 개인적인 생각이지만 정말 좋은앱 같아요!! 앞으로 여기서 쇼핑 많이 할게요!,5,1
처음 깔아봤는데 제가 좋아하는 브랜드가 없는게 좀 많지만 그래도 한눈에 볼수있어서 좋고 쓸만해요!,4,3
잘 사용하다가 갑자기 앱이 꺼지고 지웠다 다시 설치해도 실행이 안되네요 ㅡㅡ,1,0
좋은데 상품이 엄청 다양하지 않은 느낌이고 필터가 더 다양했으면!!!!,5,0
되게 옷종류가 다양한데 이 어플로 한번에 다 볼수있어서 되게 편했어요!,5,2
사진은 잘 검색이 안되지만 좋아요!! 유용하게 쓸것같습니당,5,0
한눈에다볼수있고..신상품을바로알수있어서좋아요 내가고른상품비교해볼수있어서..괜찮은것같습니다,5,1
찾는 옷 스타일과 비슷한 옷들을 찾을 수 있어서 좋은 거 같아요!!다른 어플들도 좋은데 이거 때문에 스타일닷컴을 더 애용해요!,5,11
브랜드도 굉장히 많고 설정옵션도 다양해서 좋아요,5,1
비슷한 상품으로 연결해서 볼 수 있는 게 좋아요:) 잘 쓰고 있습니당ㅎ.ㅎ,4,0
장바구니가 하나로 통합되어서 한번에 장바구니를 다 볼 수 있으면 좋을 듯 합니다,4,0
어플이 때때로 안열려요ㅠㅠㅠㅠㅜ그거빼고는 진짜 완벽한 앱인데 많이 아쉬워요(˘̩̩̩ε˘̩ƪ),4,1
