리뷰내용,별점,리뷰동조자수
짱좋! 비슷한상품도 볼수있어서 가격비교 좋아!!,5,0
너무 좋은거 같애요❤,4,0
좋음. 편함. 짱!,5,0
촤고입니다 ㅜㅜ,5,0
예쁜옷들많음,5,0
너무 간편하고 좋아요,5,0
굿입니다ㅋㅋ,5,0
짱이에요♡,5,0
굿굿 좋은어플,5,0
세밀하고 좋아요,5,0
좋아요~,5,0
학 좋음,5,0
좋아요,4,0
좋아요,4,0
좋아요,4,0
좋음,5,0
좋음,3,0
정말편하고 잘씁니당,5,2
귯 귯귯!!,4,0
아주좋당,5,0
조아영,5,0
이앱 좋은거같아요 제가다른 쇼핑앱도써봣는대 저한테는 이게 제일편하고 좋은거같고 좋아요♡,5,5
제가 썼던 앱 중에서 가장 좋은 것 같아요! 사용하기 편하고 쇼핑몰 구분없이 한꺼번에 볼 수있어요. 유사상품도 같이 비교하며 볼 수있어서 편하네요~,5,2
제가 보는 쇼핑앱이 많은데 이앱하나로 한꺼번에 볼수있고 신상 나올때마다 알람뜨고 바로바로 볼수 있어서 너무 좋아요~,5,2
아직까지 구매이력은 없지만 한번쯤은 꼭 이용해서 사보고 싶네요☆,5,0
쇼핑몰이 한꺼번에 모아져 잇고 따로 앱설치하지 않고도 마음에 드는 상품들을 모아보기 할수 잇어서 정말 좋은것 같아요~!,5,1
항상 고맙게 잘 쓰고 있는 몇 안되는 앱들중 하나입니다.제가 좋아하는 쇼핑몰들을 모아서 신상 알림도 받고 좋아요!,5,2
예쁜옷을 사이트 별로 한번에 볼 수 있으니까 가격대비도 되공 넘 죠아요!!,5,3
처음 깔았는데 괜찮네요 다만 검색 기능안에 필터기능도 있으면 좋겠어요 검색내 재검색기능도!,4,3
이 앱 정말 좋은거 같고 예쁜 옷도 많아서 좋은거 같아요,5,0
비슷한 상품을 비교할 수있고 다양해서 좋아요,5,0
가격비교에는 정말 좋은 앱인듯!,5,1
약간 종류가 적은느낌,4,0
옷도이쁜거 많이뜨고 좋아요,4,0
한번에 모아 볼수있어 짱짱편리해요,5,1
상품찾기가 편해서 좋아요,5,0
이 앱 진짜 좋아요 옷 보고 싶으시면 무조건 여기로 오세요!!!강추,5,1
남녀카테고리나눠서 볼수있어서 짱임,5,1
보기편하고 딱좋아요!,5,0
사이즈를 정하고 검색하는 기능이 추가되면 좋겠어요... 힘들려나요..?,5,1
이쁜 옷들 많아요!,5,0
너무 조아요 완전 꿀!!,5,0
완전 굳뜨굳뜨!!!,5,0
완전 좋네요!!,5,2
정말 편하게 쓰고 있어요,5,2
좋은거같아요^^,4,0
좋ㅅ다,5,0
참 편리합니다,5,1
좋아요,5,1
soso,4,0
좋아요,5,0
좋아요,4,0
좋아용,5,0
Good,5,0
개꿀,5,0
쇼핑몰 수가 많아 좋지만 비슷한 상품 보기는 비슷하지 않은 것이 많고 아예 뜨지 않는 제품도 있다.개선이 필요할 것 같다.,4,0
렉이 안걸려서 진짜 좋다. 그런데 매장수가 조금 적은거같다,4,1
아이디어도 좋고 굉장히 편리하고 너무 좋습니당♥ 근데 아무래도 스타일들도 한정적이고 비슷한상품도 안나오는게 몇몇 있어서 아쉽습니다:( 두가지만빼면 너무 좋은 어플이에요:),4,0
어제까지만 해도 상품이 잘 뜨지 않았는데 바로 고쳐주신것 같아요!! 그래서 아주 만족해요 감사합니다😊 이런 유용한 앱을 만드시느라 수고하셨어요,5,0
찾다가 까먹은 상품 있을때 이거 찾아와봤었는데 쓰기 제일 편함,5,0
쇼핑몰홈에는있는데 앱에는없는경우가 종종있어서 그것만고치면다좋을듯,3,0
쵝오예요~ 여러 쇼핑 앱 써봤는데 저는 이게 제일 편해서 3년 째 애용 즁ㅎ,5,1
아직잘모르겠는데 여러군데 비교하는건 좋은것 같아요,4,1
비슷한 상품옷을 쫙 모아서 비교 할 수 있어서 좋습니다 ! 하지만 ㅋㅋ 한번씩 놓치는 곳도 있어요,4,3
좋다 우선 비슷한 상품들을 비교해준다는거. 하지만 계속 서치하다보면 스타일이 제한적이다. 쇼핑몰의 수라던가... 그런 부분에선 약간의 아쉬움을 느낀다. 그래도 나름 괜찮다. 있으면 유용한 앱,4,7
비슷한 상품 보는거 넘 좋아요~ 그러나 가끔 전혀 안비슷한 상품들이 나와서 당황스러울때도 있습니다,4,0
비슷한옷 찾아줘서 좋아요. 아주 비슷한건 잘 못찾지만 그래도 나쁘지않음.,3,0
제가.원하는 스타일을 볼 수는 있지만 한정적인거 같아요..ㅎ,4,0
내가 애용하는 쇼핑앱! 한번에 몰아볼수있어서 간편해요! 관심샾 추가만 하면 아주 쥬아요♡,5,0
정말 좋아요 좀 아쉬운건 카테고리가 더 자세해졌으면 좋겠어요!,4,1
비슷한 상품 찾는게 너무 좋아요 그런데 매장이라던가 좀 한정적인것 같아서 아쉬워요...,3,0
색상 말고 색은 다른데 옷이 비슷한게 많이 떳으면 좋겠어요,4,0
좋아여 !! 지그재그 스타일썸 다 쓰다가 질려서 다른거 찾다가 이거 찾았는데 새로워서 기분 좋아요 !,5,0
카테고리별로 검색 할 수 있는 기능이 있음 좋겠어요!,4,0
생각보다 좋은데 업데이트 전에 스타일닷컴이 좀 더 보기 쉬운것 같아요오!,5,0
진짜 좋아요! 이 앱 깔고 옷 사고 싶은 거 너뮤 많아져서 큰일..;; 특히 앱에 비슷한 상품 보는 기능 있는 거 너무 좋아요!,5,0
비교해보고사기좋아여~비슷합옷도찾기쉽고여,5,0
하나하나 찾는거 귀찮아서 못했는데 한번에 찾을 수 있어 매우 좋아요,5,0
넘나 좋습니다 비슷한상품부터 나이대별로 알 수도있고 가격순으로도 볼 수 있어서 넘 좋아요,5,0
다양한 샵을 한눈에 볼수있어서 좋아요,5,0
비슷한 디자인 검색으로 저렴하게 살수있어좋아요,4,0
여러 쇼핑몰을 한꺼번에 볼 수있어서 참 좋네요,5,0
렉빼고 다좋네요 쇼핑몰한곳에 모아두고 찜할수있는게 젤좋습니다 다만 렉이...,4,0
오지고 지리고 빵상에 깨랑까랑입니다.,5,0
무난하게 잘 사용하는 어플!,5,0
좋은 스타일링 참고하기에도 좋고 여러 쇼핑몰 일일이 찾지않아도 한눈에 보기 좋아요ㅠㅠ,5,0
정리가 잘되어있어서 보기 좋아요!,4,0
좋아요..싸고 좋은건 다 품절되서 아쉽지만...ㅠㅜ,5,1
비슷한 상품을 볼 수 있어서 간편하고 좋은 거같아요^^,4,0
여기엔 옷이많네요,4,0
넘ㅎㅈ조아요쨕쨕,4,0
스타일링 상담 기능이 있어도 좋을것같아요,4,0
유용합니다. 데이터 주의!,4,0
옷도 많구  추천 룩도 많아서 넘넘 맘메 들어여~~♡♡,5,0
좋은거같아요! 옷비교하는여러어플중에서?!,4,0
비슷한 제품을 한눈에 비교해주는게👍👍,4,0
옷 코디로 볼수 있어서 좋아요:),4,0
좋아요!,5,0
한눈에보여서좋아요,5,0
모아서봐서 보기편함,5,0
쓸만함.,4,0
이거 짱 좋아요,5,0
이앱넘나좋은것,5,0
넘나편리함,5,0
대체로 좋음,4,0
완전 좋아요,5,0
진짜 최고,5,0
좋고 간편함,5,0
좋아용 편함,4,0
좋아엽,5,0
좋아요ㅎㅎ,4,0
좋아요,5,0
좋습니다,4,0
좋음,5,0
좋아요,4,0
좋네요,4,0
좋아여!,5,0
너무 편해요,5,0
좋네용,5,0
좋아용,5,0
좋아용,4,0
개굳,5,0
옷 사고 싶은데 어떤 옷사야할지 고민할때 앱에서 확인하면 트렌디한 옷을 고를수있어서 좋아요~,4,0
"쇼핑몰을 모아 볼 수 있고, 비슷한 상품을 같이 볼수 있어서 가격대비도 되고 완전 좋아요♥",5,0
비슷한 상품을 누르면 내가 원하는 옷들을 모아져있기도 하고 가격비교도 쉽게 할 수 있기에 이 앱이 제일 유용한 거 같아요~~~,5,0
옷 고를때 이 앱만 봄.. 너무 보기쉽고 편하고 비슷한 옷 보기나 찜해놓기 최근본상품 이런 기능들때매 쇼핑하기 좋음,5,1
굿굿~진짜옷살때마다유용하게잘쓰고있어요 옷살려고하면스타일닷컴만떠오름ㅎ,5,0
예전에 지그제그쓰다가 이거써봤는데 개조아염ㅠㅠ개발자님 사랑합니다😍😍 외국사는데 한국가면 왕창 시켜야겠어요,5,0
진짜 옷 정말 신중하게 사는 스타일인데 가격 같은거 알아볼때 너무 유용하게 쓰고 잇어요!!,5,0
비슷한앱찾기잇는게신의한수. 근데 이쁜거고르면다품절임.,5,3
너무 편해요 비슷한 상품찾기로 가격비교도 쉽고 상품 찾기도 쉽고 감사합니다ㅜㅡㅜ,5,0
개져아 쓰지마 나만 쓸꺼임 ㅡㅡ,5,0
유사 옷 가격대비교하는것이 유일한 장점이였는데 유사 옷이 하나도안뜨네요.,4,0
비슷한 상품찾는게 좋아요! 근데 색위주로만 나오니까 그게 조금 아쉬워요ㅠㅠ 옷들도 디자인별로 여러가지 색이있잖아요ㅠ 그런데도 이만한 앱이 없어 잘쓰고있습니다,5,5
옷살때 좀 많은 정보 주는것같아서 좋아요!,5,0
"비슷한 옷을 싸게 살수있는게 가장 큰 장점인것같아요!  이 앱 쓴 후로 비슷한 옷을 싸게사게됬고, 이쁜 옷 쇼핑몰도 많이 안것같아요!",5,0
옷고를때 진짜 유용해요 관심상품을 등록할수있어서 이것저것모아놓고 고르면 쇼핑실패할일이 적어요~~!,5,0
짱좋 비교하기랑 찜하기 업뎃 상품보기 조아요,5,0
비슷한 상품 비교도 되고 모든 쇼핑몰 모아보기도 되고 편해요!,5,0
코디도 있고 쇼핑몰도 모아져 있어서 좋아요ㅎㅎ,3,0
비슷한옷찾기가 제일유용함 관심상품 등록해놓고 사는것도 너무편해용,5,0
비슷한 상품들이 뭐가 있는지 알 수 있어서 좋네욥,5,0
옷비교하는거 신의한수임ㅇㅇ,4,0
이거 진짜 좋아요!! 비슷한 옷 뭐있는지도 알 수 있고 매일매일 다른 상품들이 들어오니까 매번 새로운 옷을 볼 수 있어요~~!,5,2
관심상품을 제한받지 않고 선택할수 있어서 좋은거 같아요: ~,5,0
여기저기 쇼핑몰에서 장바구니에 담은걸 한번에 결제할 수 있으면 좋겠다,4,0
비슷한어플중 이게 제일 좋은거같ㅇㅇㅇ 색상에따라 나뉘는것도 있으면 갠적으로  걍 존좋일듯 사랑해요,5,0
여러옷을 한번에 볼 수 있어서 좋아요!,5,0
쇼핑몰 어플중에 가장 편리한 것 같아요!,4,0
지금까지 써본 패션앱중 제잏좋음,4,0
좋네용 비슷한옷 찾는거 좋아욥,4,0
비슷한옷을찾을수잇다는게 좋음,4,0
진짜 좋은 앱 이걸로 구경하고 옷 사고 다함,5,0
이쁜옷이 많아서 구경도 많이하고 좋아요,5,0
옷찼을때여기져기찼았는데이건그럴필요가없어서좋고옷도다양해서좀아요ㅠㅠ,5,0
굿 옷코디하고 고를때 이앱만 써요 여러앱을 써봤느네 젤 좋은듯,5,0
진짜 옷보기 편함!! 평소좋아하던쇼핑몰도많아서 진짜편합니다 강추,5,0
옷 간편히 고를 수 있는게 정말 좋아요!,5,0
나름 좋은데 가끔 없는 상품도 있고 가격대가 다른 앱에비해 조금 높은것 같음,4,1
비슷한 스타일옷을 찾을수있는건 좋은데 필터기능에 색상고르는 것도 있었으면 좋겠어요,5,0
비슷한 상품 볼 수 있어서 좋아요,4,0
비교해볼 수 있어서 좋아요,5,0
좋아요 쇼핑몰 종류가 많아요,5,0
옷을보기편함 굿,4,0
예쁜옷들이 많아서 좋아요,5,0
이 앱 정말 좋아요! 보기도 편리하고 이쁜 옷들도 많고!!&gt;&lt;,5,0
다른앱은 그냥 옷가게들만 나와있어서 하나 하나 가게마다 들어가서 봐야되는데 이건 한번에 보니깐 이앱쓰고 다른앱써보니 불편해서 이앱만쓰게되네요ㅎ,5,0
썼던거 중에 제일 좋은듯,5,0
비슷한 상품들을 볼 수있어서 좋아요~ 더많은 비슷한상품들을 보고싶어요~^^,5,0
괜찮은거 같아요오~!,4,0
진짜 유용하고 꼭꼭까세요!!,5,0
완전 유용하게 잘쓰고잇음!!,5,0
한꺼번에 많이 볼수 있어서 좋아요~~,3,0
보기편해서 좋아용ㅎ,5,0
쇼핑하기 편해서 좋아요!!,4,0
정말 좋아요!,5,0
자주 쓰고있어요 ~,4,0
최고에요!,5,0
넘나좋아요!,4,0
좋아요!,4,0
넘나 사랑스런 혜자앱,5,0
리뉴얼전이 좋아오,4,0
굉장히 간편하고 좋네요,5,0
좋습니다 ㅎㅎ 대박 ♡♡,5,0
굿!,5,0
진짜 좋아요👍,5,0
진짜좋은듯,5,0
굿!!!,5,0
좋은 것 같아요,5,0
쇼핑하기좋아요,5,0
괜찮은것같아요,3,0
좋아요~~,4,0
완전 짱짱,5,0
좋아욥,4,0
완전굳굳,5,0
개좋아,5,0
완전 좋아요,5,0
짱짱맨,5,0
앵간좋음,5,0
너무좋아요,5,0
개좋다,5,0
좋습니다ㅎ,4,0
굿굿,4,0
좋아요,5,0
좋아요,5,0
좋아요,5,0
좋아요,5,0
좋아요,4,0
좋아요,5,0
좋아요,4,0
좋아요,5,0
좋아요,5,0
좋아요,4,0
좋아요,5,0
굳굳,4,0
좋음,5,0
좋아요,5,0
쵝오,5,0
좋아요,4,0
좋네요,5,0
좋아요,5,0
좋아요,5,0
좋은것같아요,5,0
너무 좋아용,4,0
아주좋아여,5,0
좋아염👍,5,0
좋아용!!,5,0
쨩쨩,5,0
Good,5,0
좋아용,5,0
걍꿀,5,0
좋아용,5,0
좋앙,5,0
good,5,0
사용한지 얼마 안됐지만 다양한 쇼핑몰을 원하는 카테고리로 선택해서 볼수있어서 좋고 레이아웃도 깔끔해서 오랜시간 보고있어도 괜찮아요.앱을 오래 사용하고 있다보면 가끔씩 앱이 중지되는데 그때 다시들어가면 맨위로 올라가있어서 다시 내려갈때 조금 번거로워요 책갈피기능이나 페이지로 넘기는 방법같은 다른 기능이 있었으면 좋을것같아요,5,1
모든 인터넷쇼핑몰을 한군데 통합시켜 한번에 볼 수있어서 쇼핑하기도 너무 편리하고 최신트렌드도 한 눈에 파악할 수있어 인터넷에서 옷사시는 분들 이라면 필수적으로 설치하셔야될 앱이라고 생각합니다.,5,0
다 좋은데 성별 입력 없이 공통으로도 볼 수 있게 되면 좋겠습니다. 남자쇼핑몰 여자쇼핑몰 상관없이 보고싶은 옷들이 있는데 따로 검색해야하는점이 불편해요,4,3
비슷한상품보기 기능이 너무 맘에들어요!ㅎ,5,0
쇼핑몰에 있는 제품들이 다 있진 않지만 그래도 보 편하구 쇼핑할때 다른 쇼핑몰의 옷을을 볼 수 있어서 좋아요!,4,0
가격비교도되서 짱짱 좋아요! 항상옷살때 애용합니다~,5,0
비슷한상품보시가 제일 맘에들어요 ㅎ,4,0
원하는 카테고리와 한번에 눈에 들어와서 좋아요!,5,0
비슷한 제품을 다 볼수있어서 너무편리해요!,5,0
고등학생이여서 돈이 없는데 싸고 예쁜옷이 많아서 조아용,5,0
다운받고 접속하려고하니까 네트워크환경이 불안합니다라고 나와요 이거 운영안되는건가요? 한번접속해서 쇼핑좀하려고했더니 접속이안되네요 빨리접속되게해주세용,1,0
옷 무난하게 보기에 나쁘지 않아요,4,0
원래 스센 썼었는데 이걸로 바꾸고나서 훨씬 편리하게 옷을 볼 수 있어서 좋았어요!!!할인정보도 바로바로알려주고 신상품도 알림으로 줘서 좋아요!!!,5,0
이런 앱 정말 찾고있었어요ㅠㅠㅜ 감사합니다ㅠㅠㅠ,5,1
잘이용하고잇어욯ㅎ,4,0
옷 쉽게 찾고 원하는거 다 볼수 있어서 만족해요 하지만 품절된것도 있어서 햇갈려요,4,5
원하는쇼핑몰 알림받을수있는 기능이 좋네요,4,0
잘 사용하고 있어요 다만 더 많은 쇼핑몰이 추가 됐으면 좋겠고 품절여부도 표시해주셨으면 좋겠어요,4,0
이 어플을 이용해서 거의 옷 사는데 보기도 편해요.,5,0
쇼핑앱 중 잘 사용하게 되는 어플임  편하게 사용하게 되있는데 마이샵 하나씩 클릭되었으면 좋겠네요,5,0
옷고르고 많은 쇼핑몰이 있어서 편해요,5,0
옷을 잘  찾을수 있어서 좋아요,4,0
아직까지는 괜찮은거같아요,3,0
옷 한눈에 보기 좋음,3,0
쉽게 볼수있어서 참 좋네요,5,0
옷도 이쁘고 좋네여,5,0
너무좋은거같아요 맞춤 🤗,4,0
깔끔해서 좋아요!,4,0
너무 좋습니당ㅎㅎ,5,0
짱이네요 완전신세계ㅋㅋㅋㅋ,5,0
정말 편하고 좋아요ㅎㅎ,5,0
좋ㅇ요,4,0
편한거 같아요,5,0
짱좋 개편함,5,0
유용해요,3,0
너무좋음,3,0
너무 좋아요,5,0
진짜 좋아요,5,0
너무좋아요,5,0
좋아영,5,0
좋아요,4,0
좋아요,5,0
좋음,5,0
굳굳,5,0
좋아요,5,0
좋아요,5,0
좋아요,4,0
좋다,5,0
좋아요,5,0
편함,5,0
좋아요,5,0
bb,4,0
나이스,5,0
개꿀,5,0
알게된지 얼마안됐는데 왜 이제야 알게되었을까 싶네요!_! 네이버 쇼핑에서 쇼핑몰 모아서 보여주는건 검색단어가 한정적이라 불편했는데 비슷한 상품과 가격비교에 관심상품 등록에 정말 편리하구 좋습니당!! 온라인 쇼핑 즐기시는 분이라면 정말 편하게 쓰실듯,5,2
비슷한 옷 검색할때 지금보는 옷 여러사진중에 하나 골라서 검색가능하게 했으면...색상이 여러개인데 메인사진 그 색상 하나로만 검색돼서 답답함,5,0
우선가격비교할수있어서넘나좋음 진짜편하고 짱,5,0
와..진짜 이앱정말증말정말조아요 ㅇㄴㄱㄱㄷ쇼핑몰 에 정말 인생템등극한옷들진짜많구요 이쁜옷들정말많어요ㅠㅠ,5,0
다른옷 비교해서 찾는 기능은 좋은것같다,3,0
비슷한상품도볼수있고 낮은가격순으로볼수있어서 비교도쉽게할수있어서좋은것같아요!,5,0
진짜 다른앱들과 비교해서 제일좋은거같아요ㅠㅠㅠㅠㅠㅠ,5,0
친구가 알려줬는뎅 넘 조아용 ㅎㅎㅎ,5,0
이쁜 옷들이 정리 되어 있어서 한 눈에 보기 좋아요!,5,1
여러 쇼핑몰들의 옷들을 한번에 다 볼 수 있어서 너무 죠아여,5,0
다른 쇼핑몰앱도 좋은데 사용해본것 중에서 이게 제일 좋은거같아요&gt;&lt;♡,5,0
너무너무좋은게 옷 스타일만알면 거의에대한 비슷한정보옷들이 다나와서 좋아오ㅜ,3,0
제일 잘 이용하구있습니다ㅎㅎ,5,0
쇼핑몰이 모여있어서 옷을사기 쉬워서 좋네요,5,0
옷 고를 때 조아욤,5,0
이제시내안나가도됨,5,0
리뷰 잘 달지도않는데 이 앱은 별 백만개 주고싶어오ㅠㅠ 수학여행 옷 편하게 고를수있겟어오ㅠㅜㅜㅠㅠ개발자 싸랑해오,5,0
다른 앱보다 이 앱에 올라와 있는게 많아서 귀찮게 일일이 쇼핑몰들어가서 안봐도 되는게 제일 좋음 ㅎㅎ,4,0
너무좋아요 쉽고 편하게 이용하고 있습니다.,5,0
간편하게 이것저것 비교할수있어서좋아요,4,0
비슷한상품찾기 ㅅㅌㅊ,5,0
제가 원하던 가격에 옷을 살 수 있어서 너무 좋았어요ㅎㅎㅎ짱짱♡♡♡♡,5,0
한번에 모아볼수있어서 좋아요,4,0
이 앱 좋은 것 같아요,4,0
너무 유용하게 잘써요,5,0
나쁘지않은 앱인거 같아요,4,0
정말좋은데 여기서 옷을사려하거든요 배송속도가 느리다는 쇼핑몰 옷을 여기서 사면 빨리오나요?,5,0
다양한 스타일들을 한눈에 볼수있어서 좋네요 어플이 복잡하지 않아서 찾고싶은 상품도 금방 찾을수있어서 유용하게 이용 잘하고 있습니다,5,1
완전 조아요!!한눈에 볼수있어서!!,5,0
좋은앱 감사합니다.,5,0
평탸는치는듯,4,0
서로 비교가 쉬워서 유용해용♡♡,5,0
앱 편리해요!,5,0
아주좋은앱인듯..😘😘,5,0
너무좋아연,5,0
좋네용ㅎㅎ,4,0
좋아요!,5,0
코디할때좋아요,5,0
쓰기편한거같아요,3,0
정말유용해요ㅎㅎ,5,0
옷구경하기 편해요!,4,0
좋아유 최거,5,0
넘모좋아요ㅎ,5,0
옷 찾기 너무 좋아용,4,0
좋아요,4,0
좋아요,5,0
좋아요,5,0
좋아요,5,0
굿굿,5,0
좋아요,5,0
좋음,5,0
좋아요,5,0
좋아요,5,0
좋음,5,0
좋아요,4,0
좋아요,5,0
괜찮네요,5,0
좋은것같아요.,4,0
좋아염!,5,0
넘 좋은것,5,0
좋아용~~,4,0
좋아용,5,0
Good,5,0
좋아욤,5,0
bb,4,0
와 이건 진짜 신이내린 앱이에요ㅠㅠㅠㅠㅠ진짜 너무 이쁜거많음 꼭 다운받으세요 님드류ㅠㅜㅠ,5,0
쇼핑몰 모아둬서 보기편하구 좋은데 쇼핑몰 간편가입할때 주소적는란에서 자꾸 튕기고 검색이 안돼요 그것만 빼면 좋은듯!,4,0
"간다하게 모아놔서 쉽게 찾아볼수도 있구 또한, 비슷한 상품을 할수있으므로 가격대비도 할수잇어서 괜찮은 어플인듯 유용히 쓸것같은 감사용^^!!",5,0
좋다,5,0
비슷한제품찾기에 직접찾아보는거보다는 별로 안비슷하고 많이 나오진않지만 나름 괜찮아요. 쇼핑몰여러곳 다 모아져있어서 완전 편해요:),4,0
특정 상품 페이지에 들어갔을 때 관심상품 등 하단의 버튼들이 비활성화되는 경우가 꽤 있네요. 이런 불편한 점이 있지만 나머지 기능들은 괜찮은 것 같아요.,4,0
어플 리뷰 잘 안남기는 편인데 사용하다가 정말 너무 좋아서 남겨봅니다  스타일닷컴같은 비슷한 어플들이 진짜많은데 타어플들도 여러번 사용해봤지만 스타일닷컴만큼 오랫동안 제 핸드폰어플에 남아서 손이 많이가는 어플은 없던것같아요  비슷한상품찾기 기능 덕분에 같은디자인에 더 가성비좋고 이쁜 옷을 쉽게 찾을수있는점이 진짜 유용한것같아요  가격대도 원하는대로 볼 수있다는게 진짜 좋고 제가 관심있어하는 상품이 올라왔단 알람이 뜨는것도 좋아요!  심심할때나 쇼핑할일있을때 스타일닷컴보고있으면 시간도 엄청빨리가고 여러 쇼핑몰들을 한번에 볼수있어 편한것같아요  뭐입을지 고민될때나 요즘유행패션 궁금할때 스타일닷컴보면 도움도 되게 많이되고 좋은것같아요  악세사리류도 좀더 세분화해서 검색할수있도록 하는 기능도있으면 좋을것같아요  좋은어플 만들어주셔서 감사합니다,5,3
이거 쇼핑몰 웹사이트를 그대로 띄우는 건가요? 쇼핑몰 자체 특성 때문에 상품 상세 페이지에서 하단 버튼들이 자꾸 사라져요. 상품 목록은 잘 만들었는데 막상 상세 페이지에서 구입 하려면 너무 불편하네요.,3,5
사이트 여러개 묶어서 볼 수 있어서 좋은 거 같아요. 쓰면서 계속 느끼는데 치마랑 셔츠  카테고리를 따로 만들어 주시면 안될까요?그리고 연령 선택할때 어떻게 눌러야 해당 연령대 옷이 나오는지를 모르겠어요. 좋은 앱 만들어주셔서 고맙습니다,5,0
다른 비슷한앱들보다  이앱이 갑인듯ㅎㅎ,5,0
간단하게 내가 원하는 옷을 찾고 예쁜 옷도 많고 다양해서 좋아요!,5,0
구매해보진 않았지만 다양한 스타일을 한번에 보기 좋은듯,3,0
좋아요 이 옷 사고싶은데 뭘 사야할지 모를때 이 앱이 굉장히 많은 도움 됫습니다,5,0
다른어플도 사용해 봤지만 많은 쇼핑몰을 함께 볼때 참 편리한 앱같아서 좋아요,5,0
진짜 전부 다 사고싶을 정도로 옷들이 다 예뻐요ㅠㅠㅠㅜ,5,0
먼가싱플하면서조아롤,4,0
비슷한상품보기 기능이 좀더 개선됬으면 합니다~ 같은 상품 가격비교 같은....,3,0
좋아요! 이쁜옷들 많이올라오네용,5,0
너무 좋아요 옷 고르기가 편해요,5,0
진짜 너무너무 좋아요 관심상품 해놓으면 바로바로 볼수있고 계절에 맞게 스타일도 볼수있어서 매일매일 들어가는 앱이에요ㅠㅠㅠㅠ!!❣❣❣❣,5,0
다볼수있어서좋은듯,5,0
좋은거 같아요 잘보고있어요,5,0
좋아요!!일일히 쇼핑몰 찾아 안들어가도 돼서 편해요!,5,0
옷찾기쉬워서자주쓰고있어요!!,5,0
비슷한 상품 찾는 기능이 특히 조아여..,5,0
너무잘쓰고있습니다~.~,5,0
너무 좋어요,5,0
검색하기 딱 좋네요,5,0
좋아요😘,5,0
좋아요~,5,0
너무 좋아요,5,0
좋아요,5,0
좋음,5,0
좋아,5,0
좋아요ㅠㅠ,5,0
좋아요,5,0
너무좋앙‥ㅁ,5,0
사용하기 편해요,4,0
좋으거 같아요,4,0
좋아용ㅇㅎㅎ,5,0
짱이에요,5,0
편해요~,5,0
좋아여,5,0
스타일닷컴 같은 비슷한 어플 많이 봤지만 스타일닷컴만큼 좋은 어플은 없는것 같아요 ㅎㅎ 전 이 어플이 제일 편하고 좋아서 몇년째 쓰는중입니다  !!!!,5,0
패알못인데 많은 정보를 한곳에서 볼 수 있으니까 정말 편한거같아요!,5,0
찾고 싶은게 바로나오는 편안함,5,0
잘 쓰고있어요^-^,5,0
좋아요,4,0
좋음,5,1
아침에 잠 깰때마다 사용하는데 진짜 보기도 좋고 이쁜옷 유행 같은거 확인하기도 좋아요 사진 않지만 보면서 패션공부합니다ㅋㅋ 앞으로도 좋은 제품 많이 부탁드려요! 보충하고 싶다면 다음 계절의 코디같은것도 추천해주는 그란것도 있었으면 좋겠슴다 아 제가 못찾는걸까요..ㅋㅋㅋㅋ아무튼 좋습니다!! 맨날 들어갑니다ㅋㅋㅋbb,5,9
이쁜옷들도굉장히많고 쇼핑몰도스타일별로 엄청많아서 내가원하는스타일의옷을쉽게찾을수있어서 좋아용♡,5,0
아침에 일어나면 제 관심상품이 올라왔다고 떠가지고 완전 도움이 되고 렉도 잘 안걸리고 다른 것보단 훨씬 좋은 앱 같아용 이 정도면 진짜 싫어하는 사람이 없을듯 아이디도 저장하고 있으면 다른 폰으로 바꿔도 그대로 남아서 정말 많이 편하고 추천하는 옷도 보여주니까 정말 편하고 어느 매장이 내 스타일인지도 알 수 있는거같아요 정말 이 앱에게 감사드립니당!♡,5,4
그때그때마다 맞는 옷 같은게 계속 떠서 좋은 것 같아요 가격같은것도 한눈에 알아볼수있어서 좋아요 종종 쓸게요^^,4,0
"아, 예쁜데 저렴한 제품까지 있다니 정말 좋네요 정말 매일 아침마다 살펴보는게 습관이 되었어요",5,0
쇼핑몰 왔다갔다 할때 x 잘못 누르면 원점이라 좀 불편하지만 신박하고 좋은 앱 같아요!,4,0
항상 이걸로 쇼핑해요! 비슷한 상품을 볼 수 있으니 좀 더 싼 가격에 비슷한 옷을 살 수 있어서 좋아요,3,1
좋은거 같아요! 알아서 다 찾아주고 요즘 트렌드도 쉽게 알수있고 좋습니다!,4,0
비슷한옷찾기 너무 좋구요 가격비교하는데 개좋음,5,0
엄청 야용하고있오여  뽐뿌 옵니당,5,0
버튼이 작아서 잘안보여요..ㅜ 그래도 내가 찾고 싶엇던 상품은 금방 찾앗어요 ! 감사합니당,5,70
좋아요!어떤식으로코디할까볼때도좋구요 특히유사상품찾아주는게진짜좋은것같아요!,5,0
진짷ㅎㅎㅎ 옷을사고 패션에 대해 볼때 너무 좋은 것 같아요!!,5,0
비슷한 상품으로 가격이랑 디자인 더 좋은제품 볼수있어서 조아욤!!,5,0
비슷한 상품도 볼수 있고 여러 쇼핑몰의 제품을 한번에 볼수있어 좋아요!,4,0
하다가 갑자기 앱 중지되는 것만 아니면 좋아요~,5,0
비슷한상품이 진짜편해요 상품을 저렴하게 살수있어요 근데 똑같은상품은 아니네요..... 이것좀고쳐주삼,5,7
내가 원하던 쇼핑앱이네요 이걸 아제야 찾앗다니... 쇼핑할때 자주쓸듯,5,139
이거 진짜 좋고 다 모아서 있어서 비교하기도 좋고 편해요,5,0
